,sale_price_sqr_foot,housing_units,gross_rent,Lat,Lon
Alamo Square,366.02,378401.0,2817.29,37.791012,-122.4021
Anza Vista,373.38,379050.0,3031.83,37.779598,-122.443451
Bayview,204.59,376454.0,2318.4,37.73467,-122.40106000000002
Bayview Heights,590.79,382295.0,3739.0,37.72874,-122.41098000000001
Buena Vista Park,452.68,378076.5,2698.83,37.768159999999995,-122.43933
Central Richmond,394.42,378401.0,2817.29,37.77789,-122.44516999999999
Central Sunset,423.69,378401.0,2817.29,37.74961,-122.48998999999999
Clarendon Heights,487.24,376454.0,2250.5,37.75331,-122.44703
Corona Heights,587.54,377232.8,2472.0,37.78553,-122.456
Cow Hollow,665.96,378401.0,2817.29,37.79298,-122.43579
Croker Amazon,303.0,378076.5,2698.83,37.7228,-122.43869
Diamond Heights,434.99,375480.5,2016.0,37.728629999999995,-122.44305
Duboce Triangle,502.6,378401.0,2780.25,37.76964,-122.42611000000001
Eureka Valley/Dolores Heights,642.25,378401.0,2817.29,37.75554,-122.43778999999999
Excelsior,388.77,379050.0,3031.83,37.72874,-122.41098000000001
Financial District North,391.36,378401.0,2817.29,37.79101,-122.4021
Financial District South,455.84,377232.8,2472.0,37.79101,-122.4021
Forest Knolls,321.84,374507.0,1781.5,37.757059999999996,-122.45508999999998
Glen Park,623.83,378725.5,2899.5,37.728629999999995,-122.44305
Golden Gate Heights,639.39,377622.2,2601.4,37.757912,-122.46401999999999
Haight Ashbury,449.54,378401.0,2817.29,37.76525,-122.43596000000001
Hayes Valley,355.93,378401.0,2817.29,37.76525,-122.43596000000001
Hunters Point,170.62,377427.5,2489.0,37.72551,-122.37178
Ingleside Heights,384.8,379374.5,2960.0,37.72116,-122.48706999999999
Inner Mission,397.67,378401.0,2817.29,37.75416,-122.41946999999999
Inner Parkside,519.39,379861.25,3224.0,37.74961,-122.48998999999999
Inner Richmond,378.59,378401.0,2817.29,37.769112,-122.483566
Inner Sunset,413.67,378401.0,2817.29,37.74961,-122.48997
Jordan Park/Laurel Heights,529.38,378401.0,2817.29,37.78553,-122.456
Lake --The Presidio,409.95,377427.5,2555.17,37.801520000000004,-122.45456999999999
Lone Mountain,478.23,377427.5,2555.17,37.7789,-122.45496000000001
Lower Pacific Heights,539.24,378401.0,2817.29,37.79298,-122.43579
Marina,583.75,378401.0,2817.29,37.79972,-122.46688999999999
Merced Heights,788.84,380348.0,3414.0,37.71993,-122.46595
Midtown Terrace,550.51,377427.5,2647.5,37.75331,-122.44703
Miraloma Park,779.81,375967.25,2155.25,37.73415,-122.45700000000001
Mission Bay,566.19,377752.0,2663.67,37.783229999999996,-122.40065
Mission Dolores,418.92,377427.5,2555.17,37.75184,-122.42522
Mission Terrace,523.47,379569.2,3173.4,37.728629999999995,-122.44305
Nob Hill,458.2,378401.0,2817.29,37.79298,-122.43579
Noe Valley,542.44,378401.0,2817.29,37.75331,-122.44703
North Beach,411.65,379179.8,2990.8,37.80055,-122.40433
North Waterfront,498.27,378401.0,2818.4,37.80055,-122.40433
Oceanview,330.1,377103.0,2434.0,37.71993,-122.46595
Outer Mission,242.37,379374.5,2995.75,37.7228,-122.43869
Outer Parkside,485.03,378401.0,2817.29,37.7517,-122.446
Outer Sunset,394.22,378401.0,2817.29,37.74961,-122.48998999999999
Pacific Heights,689.56,378401.0,2817.29,37.79298,-122.43579
Park North,373.73,378401.0,2817.29,37.72838,-122.47851000000001
Parkside,336.17,377427.5,2555.17,37.74961,-122.48998999999999
Parnassus/Ashbury Heights,632.74,378401.0,2817.29,37.76355,-122.45765
Portola,327.11,376454.0,2318.4,37.73467,-122.40106000000002
Potrero Hill,662.01,378401.0,2817.29,37.73196,-122.38323999999999
Presidio Heights,675.35,378401.0,2817.29,37.78553,-122.456
Russian Hill,608.98,378401.0,2817.29,37.79298,-122.43579
Silver Terrace,170.29,380348.0,3528.0,37.73467,-122.40106000000002
South Beach,650.12,375805.0,2099.0,37.783229999999996,-122.40065
South of Market,570.27,378401.0,2817.29,37.79101,-122.4021
Sunnyside,528.32,378725.5,2899.5,37.73415,-122.45700000000001
Telegraph Hill,676.51,378401.0,2817.29,37.80055,-122.40433
Twin Peaks,469.4,378401.0,2817.29,37.753311,-122.447029
Union Square District,903.99,377427.5,2555.17,37.79101,-122.4021
Van Ness/ Civic Center,404.15,378401.0,2817.29,37.779509999999995,-122.42022
Visitacion Valley,301.47,381321.5,3657.0,37.72874,-122.41098000000001
West Portal,498.49,376940.75,2515.5,37.74026,-122.46388
Western Addition,307.56,377427.5,2555.17,37.79298,-122.43579
Westwood Highlands,533.7,376454.0,2250.5,37.7347,-122.456854
Westwood Park,687.09,382295.0,3959.0,37.73415,-122.45700000000001
Yerba Buena,576.71,377427.5,2555.17,37.79298,-122.39636000000002
